observableId	simulationConditionId	time	measurement	observableParameters	noiseParameters
Free_IL6_obs	TREG	30	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	30	1e-08	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TREG	30	0.012349441	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	30	0.012349441	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	30	0.012349441	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TREG	30	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	30	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	30	1e-08	scale_IL6R_Active	sigma_const
TGFbR_Active	TREG	30	0.96356138	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	30	0.96356138	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	30	0.96356138	scale_TGFbR_Active	sigma_const
pSMAD3_obs	TREG	30	0.3929296	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	30	0.3929296	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	30	0.3929296	scale_pSMAD3_obs	sigma_const
pSTAT3_obs	TREG	30	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	30	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	30	1e-08	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	TREG	30	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	30	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	30	1e-08	scale_STAT3d_active_obs	sigma_const
S3S4_complex_obs	TREG	30	0.39213691	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TREG	30	0.39213691	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TREG	30	0.39213691	scale_S3S4_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	30	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	30	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	30	1e-08	scale_S3STAT3d_complex_obs	sigma_const
PKA_active	TREG	30	0.70997561	scale_PKA_active	sigma_const
PKA_active	TREG	30	0.70997561	scale_PKA_active	sigma_const
PKA_active	TREG	30	0.70997561	scale_PKA_active	sigma_const
Free_IL6_obs	TREG	45	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	45	1e-08	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TREG	45	1e-08	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TREG	45	0.012349441	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	45	0.012349441	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TREG	45	0.012349441	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TREG	45	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	45	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TREG	45	1e-08	scale_IL6R_Active	sigma_const
TGFbR_Active	TREG	45	0.96356138	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	45	0.96356138	scale_TGFbR_Active	sigma_const
TGFbR_Active	TREG	45	0.96356138	scale_TGFbR_Active	sigma_const
pSMAD3_obs	TREG	45	0.6041516	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	45	0.6041516	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TREG	45	0.6041516	scale_pSMAD3_obs	sigma_const
pSTAT3_obs	TREG	45	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	45	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TREG	45	1e-08	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	TREG	45	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	45	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TREG	45	1e-08	scale_STAT3d_active_obs	sigma_const
S3S4_complex_obs	TREG	45	0.60335331	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TREG	45	0.60335331	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TREG	45	0.60335331	scale_S3S4_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	45	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	45	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TREG	45	1e-08	scale_S3STAT3d_complex_obs	sigma_const
PKA_active	TREG	45	1.4768954	scale_PKA_active	sigma_const
PKA_active	TREG	45	1.4768954	scale_PKA_active	sigma_const
PKA_active	TREG	45	1.4768954	scale_PKA_active	sigma_const
Free_IL6_obs	TH17	0	100	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TH17	0	100	scale_Free_IL6_obs	sigma_const
Free_IL6_obs	TH17	0	100	scale_Free_IL6_obs	sigma_const
Free_TGFb_obs	TH17	0	1	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TH17	0	1	scale_Free_TGFb_obs	sigma_const
Free_TGFb_obs	TH17	0	1	scale_Free_TGFb_obs	sigma_const
IL6R_Active	TH17	0	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TH17	0	1e-08	scale_IL6R_Active	sigma_const
IL6R_Active	TH17	0	1e-08	scale_IL6R_Active	sigma_const
TGFbR_Active	TH17	0	1e-08	scale_TGFbR_Active	sigma_const
TGFbR_Active	TH17	0	1e-08	scale_TGFbR_Active	sigma_const
TGFbR_Active	TH17	0	1e-08	scale_TGFbR_Active	sigma_const
pSMAD3_obs	TH17	0	1e-08	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TH17	0	1e-08	scale_pSMAD3_obs	sigma_const
pSMAD3_obs	TH17	0	1e-08	scale_pSMAD3_obs	sigma_const
pSTAT3_obs	TH17	0	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TH17	0	1e-08	scale_pSTAT3_obs	sigma_const
pSTAT3_obs	TH17	0	1e-08	scale_pSTAT3_obs	sigma_const
STAT3d_active_obs	TH17	0	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TH17	0	1e-08	scale_STAT3d_active_obs	sigma_const
STAT3d_active_obs	TH17	0	1e-08	scale_STAT3d_active_obs	sigma_const
S3S4_complex_obs	TH17	0	1e-08	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TH17	0	1e-08	scale_S3S4_complex_obs	sigma_const
S3S4_complex_obs	TH17	0	1e-08	scale_S3S4_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	0	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	0	1e-08	scale_S3STAT3d_complex_obs	sigma_const
S3STAT3d_complex_obs	TH17	0	1e-08	scale_S3STAT3d_complex_obs	sigma_const
PKA_active	TH17	0	1e-08	scale_PKA_active	sigma_const
PKA_active	TH17	0	1e-08	scale_PKA_active	sigma_const
